,ds,y
314,2020-04-02 02:00:00,8
315,2020-04-02 03:00:00,22
316,2020-04-02 04:00:00,27
317,2020-04-02 05:00:00,39
318,2020-04-02 06:00:00,64
319,2020-04-02 07:00:00,76
320,2020-04-02 08:00:00,106
321,2020-04-02 09:00:00,130
322,2020-04-02 10:00:00,136
323,2020-04-02 11:00:00,145
324,2020-04-02 12:00:00,166
325,2020-04-02 13:00:00,167
326,2020-04-02 14:00:00,177
327,2020-04-02 15:00:00,175
328,2020-04-02 16:00:00,131
329,2020-04-02 17:00:00,156
330,2020-04-02 18:00:00,143
331,2020-04-02 19:00:00,94
332,2020-04-02 20:00:00,76
333,2020-04-02 21:00:00,62
334,2020-04-02 22:00:00,42
335,2020-04-02 23:00:00,46
336,2020-04-03 00:00:00,37
337,2020-04-03 01:00:00,25
338,2020-04-03 02:00:00,20
339,2020-04-03 03:00:00,22
340,2020-04-03 04:00:00,23
341,2020-04-03 05:00:00,33
342,2020-04-03 06:00:00,62
343,2020-04-03 07:00:00,88
344,2020-04-03 08:00:00,120
345,2020-04-03 09:00:00,129
346,2020-04-03 10:00:00,176
347,2020-04-03 11:00:00,198
348,2020-04-03 12:00:00,164
349,2020-04-03 13:00:00,194
350,2020-04-03 14:00:00,202
351,2020-04-03 15:00:00,212
352,2020-04-03 16:00:00,176
353,2020-04-03 17:00:00,169
354,2020-04-03 18:00:00,132
355,2020-04-03 19:00:00,121
356,2020-04-03 20:00:00,89
357,2020-04-03 21:00:00,52
358,2020-04-03 22:00:00,55
359,2020-04-03 23:00:00,60
360,2020-04-04 00:00:00,45
361,2020-04-04 01:00:00,28
362,2020-04-04 02:00:00,12
363,2020-04-04 03:00:00,8
364,2020-04-04 04:00:00,24
365,2020-04-04 05:00:00,27
366,2020-04-04 06:00:00,47
367,2020-04-04 07:00:00,50
368,2020-04-04 08:00:00,61
369,2020-04-04 09:00:00,82
370,2020-04-04 10:00:00,122
371,2020-04-04 11:00:00,134
372,2020-04-04 12:00:00,127
373,2020-04-04 13:00:00,127
374,2020-04-04 14:00:00,126
375,2020-04-04 15:00:00,133
376,2020-04-04 16:00:00,114
377,2020-04-04 17:00:00,96
378,2020-04-04 18:00:00,83
379,2020-04-04 19:00:00,63
380,2020-04-04 20:00:00,61
381,2020-04-04 21:00:00,68
382,2020-04-04 22:00:00,60
383,2020-04-04 23:00:00,47
384,2020-04-05 00:00:00,32
385,2020-04-05 01:00:00,23
386,2020-04-05 02:00:00,15
387,2020-04-05 03:00:00,11
388,2020-04-05 04:00:00,13
389,2020-04-05 05:00:00,14
390,2020-04-05 06:00:00,28
391,2020-04-05 07:00:00,41
392,2020-04-05 08:00:00,62
393,2020-04-05 09:00:00,59
394,2020-04-05 10:00:00,63
395,2020-04-05 11:00:00,72
396,2020-04-05 12:00:00,67
397,2020-04-05 13:00:00,62
398,2020-04-05 14:00:00,92
399,2020-04-05 15:00:00,90
400,2020-04-05 16:00:00,112
401,2020-04-05 17:00:00,71
402,2020-04-05 18:00:00,63
403,2020-04-05 19:00:00,59
404,2020-04-05 20:00:00,64
405,2020-04-05 21:00:00,50
406,2020-04-05 22:00:00,48
407,2020-04-05 23:00:00,59
408,2020-04-06 00:00:00,37
409,2020-04-06 01:00:00,30
410,2020-04-06 02:00:00,10
411,2020-04-06 03:00:00,20
412,2020-04-06 04:00:00,31
413,2020-04-06 05:00:00,39
414,2020-04-06 06:00:00,54
415,2020-04-06 07:00:00,94
416,2020-04-06 08:00:00,98
417,2020-04-06 09:00:00,110
418,2020-04-06 10:00:00,144
419,2020-04-06 11:00:00,165
420,2020-04-06 12:00:00,151
421,2020-04-06 13:00:00,142
422,2020-04-06 14:00:00,161
423,2020-04-06 15:00:00,178
424,2020-04-06 16:00:00,148
425,2020-04-06 17:00:00,143
426,2020-04-06 18:00:00,105
427,2020-04-06 19:00:00,84
428,2020-04-06 20:00:00,61
429,2020-04-06 21:00:00,56
430,2020-04-06 22:00:00,47
431,2020-04-06 23:00:00,63
432,2020-04-07 00:00:00,35
433,2020-04-07 01:00:00,13
434,2020-04-07 02:00:00,19
435,2020-04-07 03:00:00,14
436,2020-04-07 04:00:00,24
437,2020-04-07 05:00:00,34
438,2020-04-07 06:00:00,58
439,2020-04-07 07:00:00,73
440,2020-04-07 08:00:00,117
441,2020-04-07 09:00:00,132
442,2020-04-07 10:00:00,135
443,2020-04-07 11:00:00,141
444,2020-04-07 12:00:00,121
445,2020-04-07 13:00:00,156
446,2020-04-07 14:00:00,148
447,2020-04-07 15:00:00,136
448,2020-04-07 16:00:00,144
449,2020-04-07 17:00:00,137
450,2020-04-07 18:00:00,94
451,2020-04-07 19:00:00,80
452,2020-04-07 20:00:00,60
453,2020-04-07 21:00:00,47
454,2020-04-07 22:00:00,59
455,2020-04-07 23:00:00,32
456,2020-04-08 00:00:00,32
457,2020-04-08 01:00:00,24
458,2020-04-08 02:00:00,10
459,2020-04-08 03:00:00,18
460,2020-04-08 04:00:00,26
461,2020-04-08 05:00:00,46
462,2020-04-08 06:00:00,58
463,2020-04-08 07:00:00,76
464,2020-04-08 08:00:00,109
465,2020-04-08 09:00:00,123
466,2020-04-08 10:00:00,138
467,2020-04-08 11:00:00,130
468,2020-04-08 12:00:00,165
469,2020-04-08 13:00:00,156
470,2020-04-08 14:00:00,151
471,2020-04-08 15:00:00,146
472,2020-04-08 16:00:00,136
473,2020-04-08 17:00:00,153
474,2020-04-08 18:00:00,111
475,2020-04-08 19:00:00,83
476,2020-04-08 20:00:00,53
477,2020-04-08 21:00:00,43
478,2020-04-08 22:00:00,43
479,2020-04-08 23:00:00,40
480,2020-04-09 00:00:00,34
481,2020-04-09 01:00:00,19
482,2020-04-09 02:00:00,14
483,2020-04-09 03:00:00,23
484,2020-04-09 04:00:00,35
485,2020-04-09 05:00:00,38
486,2020-04-09 06:00:00,57
487,2020-04-09 07:00:00,89
488,2020-04-09 08:00:00,90
489,2020-04-09 09:00:00,116
490,2020-04-09 10:00:00,147
491,2020-04-09 11:00:00,135
492,2020-04-09 12:00:00,152
493,2020-04-09 13:00:00,156
494,2020-04-09 14:00:00,155
495,2020-04-09 15:00:00,151
496,2020-04-09 16:00:00,154
497,2020-04-09 17:00:00,148
498,2020-04-09 18:00:00,78
499,2020-04-09 19:00:00,79
500,2020-04-09 20:00:00,55
501,2020-04-09 21:00:00,59
502,2020-04-09 22:00:00,45
503,2020-04-09 23:00:00,60
504,2020-04-10 00:00:00,33
505,2020-04-10 01:00:00,18
506,2020-04-10 02:00:00,9
507,2020-04-10 03:00:00,20
508,2020-04-10 04:00:00,30
509,2020-04-10 05:00:00,31
510,2020-04-10 06:00:00,47
511,2020-04-10 07:00:00,77
512,2020-04-10 08:00:00,97
513,2020-04-10 09:00:00,111
514,2020-04-10 10:00:00,155
515,2020-04-10 11:00:00,134
516,2020-04-10 12:00:00,147
517,2020-04-10 13:00:00,122
518,2020-04-10 14:00:00,141
519,2020-04-10 15:00:00,149
520,2020-04-10 16:00:00,145
521,2020-04-10 17:00:00,131
522,2020-04-10 18:00:00,82
523,2020-04-10 19:00:00,86
524,2020-04-10 20:00:00,65
525,2020-04-10 21:00:00,52
526,2020-04-10 22:00:00,44
527,2020-04-10 23:00:00,46
