,ds,yhat
199,2020-03-28 07:00:00,76.53961878327605
200,2020-03-28 08:00:00,95.74385453855228
201,2020-03-28 09:00:00,113.50605672559898
202,2020-03-28 10:00:00,125.65582054531573
203,2020-03-28 11:00:00,130.93564442098122
204,2020-03-28 12:00:00,132.39889296491873
205,2020-03-28 13:00:00,134.59765759465978
206,2020-03-28 14:00:00,138.75740779516204
207,2020-03-28 15:00:00,140.6119192817822
208,2020-03-28 16:00:00,133.48698438092376
209,2020-03-28 17:00:00,114.30060958887174
210,2020-03-28 18:00:00,87.09945679066436
211,2020-03-28 19:00:00,60.68669963255057
212,2020-03-28 20:00:00,42.182251828193436
213,2020-03-28 21:00:00,32.07177302936344
214,2020-03-28 22:00:00,24.94263208004245
215,2020-03-28 23:00:00,14.963329133955085
216,2020-03-29 00:00:00,1.0679859329821255
217,2020-03-29 01:00:00,0.0
218,2020-03-29 02:00:00,0.0
219,2020-03-29 03:00:00,0.0
220,2020-03-29 04:00:00,0.0
221,2020-03-29 05:00:00,0.6950165138588602
222,2020-03-29 06:00:00,16.52814123351456
223,2020-03-29 07:00:00,35.834305479951375
224,2020-03-29 08:00:00,57.52820936789672
225,2020-03-29 09:00:00,78.04361987431214
226,2020-03-29 10:00:00,93.18943754646263
227,2020-03-29 11:00:00,101.68508368392482
228,2020-03-29 12:00:00,106.55869433099643
229,2020-03-29 13:00:00,112.33523615731815
230,2020-03-29 14:00:00,120.21143420033414
231,2020-03-29 15:00:00,125.89099464673754
232,2020-03-29 16:00:00,122.66862459154575
233,2020-03-29 17:00:00,107.43055019096664
234,2020-03-29 18:00:00,84.19128602078369
235,2020-03-29 19:00:00,61.72182337031501
236,2020-03-29 20:00:00,47.110190449071325
237,2020-03-29 21:00:00,40.81078633360839
238,2020-03-29 22:00:00,37.3806647134575
239,2020-03-29 23:00:00,30.959265265314677
240,2020-03-30 00:00:00,20.45319842178253
241,2020-03-30 01:00:00,10.059523900524553
242,2020-03-30 02:00:00,5.307698906533844
243,2020-03-30 03:00:00,8.739586296554478
244,2020-03-30 04:00:00,19.052283525820073
245,2020-03-30 05:00:00,33.67568955384907
246,2020-03-30 06:00:00,51.42726242575368
247,2020-03-30 07:00:00,72.35425034135285
248,2020-03-30 08:00:00,95.3640796247517
249,2020-03-30 09:00:00,116.88631514039604
250,2020-03-30 10:00:00,132.72873689161437
251,2020-03-30 11:00:00,141.61270259564606
252,2020-03-30 12:00:00,146.57128308516178
253,2020-03-30 13:00:00,152.1372863962915
254,2020-03-30 14:00:00,159.5180619379802
255,2020-03-30 15:00:00,164.4305695026215
256,2020-03-30 16:00:00,160.18521708101142
257,2020-03-30 17:00:00,143.68617124625627
258,2020-03-30 18:00:00,118.96789555592163
259,2020-03-30 19:00:00,94.82308757987776
260,2020-03-30 20:00:00,78.36297072491541
261,2020-03-30 21:00:00,70.06634591055857
262,2020-03-30 22:00:00,64.51558269789965
263,2020-03-30 23:00:00,55.876051238596006
264,2020-03-31 00:00:00,43.08060445449152
265,2020-03-31 01:00:00,30.352554443028815
266,2020-03-31 02:00:00,23.24732265970247
267,2020-03-31 03:00:00,24.33215769282802
268,2020-03-31 04:00:00,32.328684887299666
269,2020-03-31 05:00:00,44.690208254445494
270,2020-03-31 06:00:00,60.25622045515982
271,2020-03-31 07:00:00,79.09440649962917
